"{8-Ball,Eightball,The Crook With the Jet-Propelled Cue-Stick}","{Bob Budiansky,Bret Blevins}","8-Ball is the name used by different characters from Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/thumb/0/09/8-Ball_%28comics%29_sleepwalker_cover.jpg/250px-8-Ball_%28comics%29_sleepwalker_cover.jpg","8-Ball","{}","{A cue stick,Brilliant engineer,Expert pool player,Fireworks,Flying miniature cameras,Gifted inventor,Skilled gymnast,Use of explosive grenades}",0,0,689,0,0,"{Jeff Hagees}","{}","8-Ball","{8-Ball Gang}",,"https://en.wikipedia.org/wiki/8-Ball_(comics)"
"{Abdul Alhazred,Death God,Master,The Mad Arab}","{John Buscema,Roy Thomas}","Abdul Alhazred (Abd-el-Hazred), also going by the aliases The Mad Arab, Death God, and Master, is a fictional character and supervillain in the Marvel Comics Universes.He was first adapted into a Marvel character in Marvel's adapted comic of Edgar Rice Burroughs' Tarzan.",,,"Abdul Alhazred","{}","{Hypnotism,Mystical,Psionic abilities,Superhuman strength,Teleportation}",0,0,368,0,0,"{Abdul Alhazred}","{Human}","Abdul Alhazred","{}",,"https://en.wikipedia.org/wiki/Abdul_Alhazred_(comics)"
"{Abigail Brand}","{John Cassaday,Joss Whedon}","Special Agent Abigail Brand is a fictional character in the Marvel Comics' universe.",,"https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/AbigailBrand.png/250px-AbigailBrand.png","Abigail Brand","{Beast}","{Pyrokinesis}",0,0,1874,0,0,"{}","{Alien Hybrid,Human Mutant}","Abigail Brand","{Alpha Flight,S.W.O.R.D,X-Men}",,"https://en.wikipedia.org/wiki/Abigail_Brand"
"{Abe Jenkins,Abner,Abner Jenkins,Beetle,Jenkins,MACH-1,MACH-2,MACH-3,MACH-IV,MACH-VII,Matthew Davis}","{Carl Burgos,Stan Lee}","Abner Ronald Jenkins (formerly known as the Beetle, MACH-1, MACH-2, MACH-3,MACH-IV, MACH-V and later MACH-VII) is a fictional character in the Marvel Comics Universe.",,"https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Abner_Jenkins_Mach-VII.jpg/250px-Abner_Jenkins_Mach-VII.jpg","Abner Jenkins","{Collector,Gladiator,Gladiator (Melvin Potter),Justin Hammer}","{Durability,Engineering,Highly intelligent,Powered armor,Superhuman strength}",0,0,1621,0,0,"{Abner Ronald Jenkins}","{}","Abner Jenkins","{Commission on Superhuman Activities,Features of the Marvel Universe,Masters of Evil,Sinister Syndicate,Thunderbolts}",,"https://en.wikipedia.org/wiki/Abner_Jenkins"
"{Abomination,Agent R-7,The Abomination,The Ravager of Worlds}","{Gil Kane,Stan Lee}","Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",,"http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04/standard_xlarge.jpg","Abomination","{Leader,Rhino,The Leader}","{Durability,Healing factor,Hellfire projection,Regenerative,Speed,Stamina,Superhuman strength}",43,2,15025,24,39,"{Emil Blonsky}","{Mutate}","Abomination","{KGB,Legion Accursed,Masters of Evil}","http://marvel.com/characters/81/abomination","https://en.wikipedia.org/wiki/Abomination_(comics)"
"{Abraham,Cornelius,Doctor Cornelius}","{Barry Windsor-Smith}","Doctor Abraham Cornelius is a fictional character in the Marvel Comics universe.",,"https://upload.wikimedia.org/wikipedia/en/c/c2/AbeCornelius.jpg","Abraham Cornelius","{Fenris,Matsu'o Tsurayaba}","{Scientific genius}",0,0,1195,0,0,"{Dr. Abraham B. Cornelius}","{}","Abraham Cornelius","{The Hand,Weapon X}",,"https://en.wikipedia.org/wiki/Abraham_Cornelius"
"{Absorbing Man,Breaker of Wills,Harold,Lightningbolt,Rocky Davis}","{Jack Kirby,Stan Lee}","The Absorbing Man (Carl 'Crusher' Creel) is a fictional supervillain that appears in comic books published by Marvel Comics.Debuting in the Silver Age of Comic Books, the Absorbing Man has featured in over four decades of Marvel continuity and other Marvel-endorsed products such as animated television series, video games, and merchandise such as trading cards.",,"http://x.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7/standard_xlarge.jpg","Absorbing Man","{Titania}","{}",43,4,7477,28,43,"{Carl Creel,Crusher}","{}","Absorbing Man","{Astonishing Avengers,Fear Itself,Legion Accursed,Masters of Evil,They Who Wield Power,Worthy}","http://marvel.com/characters/84/absorbing_man","https://en.wikipedia.org/wiki/Absorbing_Man"
"{Abyss}","{Mark Waid,Roger Cruz,Scott Lobdell,Steve Epting}","Abyss is a name used for three distinct characters appearing in American comic books published by Marvel Comics.",,"http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64/standard_xlarge.jpg","Abyss","{Renee Majcomb}","{Dimensional form,Empathy,Shapeshifting}",8,1,2456,3,8,"{Nils Styger}","{Mutant}","Abyss","{X-Cell,X-Corps}","http://marvel.com/characters/85/abyss","https://en.wikipedia.org/wiki/Abyss_(comics)"
"{Access}","{}","Access (Axel Asher) is a fictional character owned by both DC Comics and Marvel Comics.",,"https://upload.wikimedia.org/wikipedia/en/8/8c/DCM_AllAccess.jpg","Access","{}","{Merge,Time travel}",0,0,1229,0,0,"{Axel Asher}","{}","Access","{}",,"https://en.wikipedia.org/wiki/Access_(comics)"
"{Adam,Magus,The Magus,Warlock}","{Gil Kane,Jack Kirby,Roy Thomas,Stan Lee}","Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.",,"http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860/standard_xlarge.jpg","Adam Warlock","{}","{Agility,Endurance,Energy manipulation,Flight,Stamina,Superhuman strength}",104,10,19032,46,124,"{originally Him; changed to Adam Warlock}","{}","Adam Warlock","{Guardians of the Galaxy,Guardians of the Galaxy (2008 team),Infinity Watch}","http://marvel.com/characters/2854/adam_warlock","https://en.wikipedia.org/wiki/Adam_Warlock"
